task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,1,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,1,20000,32,20,droid_frozen,0,0.2,0.1833,0.1027,per_seed
assembly,25,1,20000,32,20,droid_frozen,1,0.05,0.1833,0.1027,per_seed
assembly,25,1,20000,32,20,droid_frozen,2,0.3,0.1833,0.1027,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,0,0.3,0.65,0.255,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,1,0.9,0.65,0.255,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,2,0.75,0.65,0.255,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,1,20000,32,20,droid_frozen,0,0.95,0.9333,0.0236,per_seed
hammer,25,1,20000,32,20,droid_frozen,1,0.95,0.9333,0.0236,per_seed
hammer,25,1,20000,32,20,droid_frozen,2,0.9,0.9333,0.0236,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.7533,0.0763,summary
