task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,0,20000,32,20,droid,0,1.0,0.95,0.0408,per_seed
button-press,10,0,20000,32,20,droid,1,0.95,0.95,0.0408,per_seed
button-press,10,0,20000,32,20,droid,2,0.9,0.95,0.0408,per_seed
assembly,10,0,20000,32,20,droid,0,0.3,0.1,0.1414,per_seed
assembly,10,0,20000,32,20,droid,1,0.0,0.1,0.1414,per_seed
assembly,10,0,20000,32,20,droid,2,0.0,0.1,0.1414,per_seed
bin-picking,10,0,20000,32,20,droid,0,0.3,0.3333,0.085,per_seed
bin-picking,10,0,20000,32,20,droid,1,0.25,0.3333,0.085,per_seed
bin-picking,10,0,20000,32,20,droid,2,0.45,0.3333,0.085,per_seed
drawer-open,10,0,20000,32,20,droid,0,0.95,0.9333,0.0236,per_seed
drawer-open,10,0,20000,32,20,droid,1,0.95,0.9333,0.0236,per_seed
drawer-open,10,0,20000,32,20,droid,2,0.9,0.9333,0.0236,per_seed
hammer,10,0,20000,32,20,droid,0,0.8,0.8,0.0408,per_seed
hammer,10,0,20000,32,20,droid,1,0.75,0.8,0.0408,per_seed
hammer,10,0,20000,32,20,droid,2,0.85,0.8,0.0408,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.6233,0.0663,summary
