task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,10,2,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,10,2,20000,32,20,0,0.4,0.3833,0.1027,per_seed
assembly,10,2,20000,32,20,1,0.5,0.3833,0.1027,per_seed
assembly,10,2,20000,32,20,2,0.25,0.3833,0.1027,per_seed
bin-picking,10,2,20000,32,20,0,0.6,0.5833,0.1027,per_seed
bin-picking,10,2,20000,32,20,1,0.45,0.5833,0.1027,per_seed
bin-picking,10,2,20000,32,20,2,0.7,0.5833,0.1027,per_seed
drawer-open,10,2,20000,32,20,0,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,1,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,2,1.0,1.0,0.0,per_seed
hammer,10,2,20000,32,20,0,0.95,0.9333,0.0236,per_seed
hammer,10,2,20000,32,20,1,0.9,0.9333,0.0236,per_seed
hammer,10,2,20000,32,20,2,0.95,0.9333,0.0236,per_seed
AVERAGE,10,all,20000,32,20,all,N/A,0.78,0.0458,summary
