task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,0,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,0,20000,32,20,droid_frozen,0,0.1,0.1,0.0,per_seed
assembly,25,0,20000,32,20,droid_frozen,1,0.1,0.1,0.0,per_seed
assembly,25,0,20000,32,20,droid_frozen,2,0.1,0.1,0.0,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,0,0.4,0.55,0.1225,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,1,0.7,0.55,0.1225,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,2,0.55,0.55,0.1225,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,0,20000,32,20,droid_frozen,0,1.0,0.7833,0.2718,per_seed
hammer,25,0,20000,32,20,droid_frozen,1,0.95,0.7833,0.2718,per_seed
hammer,25,0,20000,32,20,droid_frozen,2,0.4,0.7833,0.2718,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.6867,0.0789,summary
